dataset,higher_level_category,code,label,definition,include_when,exclude_when
general_reflection_themes,Context and evidence needs,lack_context,Lack of context,"Participant identifies insufficient codebase, framework, dependency, organizational, or runtime context as a limitation of AI-assisted security work.","Apply when the response discusses missing context as a reason AI outputs are unreliable, incomplete, or require checking.",Use framework_context_failure for incident-focused examples of a specific context-related failure.
general_reflection_themes,Verification and trust calibration,verification_needed,Verification needed,Participant emphasizes the need to verify AI-generated security outputs before use.,"Apply when the response mentions review, testing, documentation checks, comparison, traditional tools, or independent analysis as necessary for using AI outputs.",Do not apply when the participant mentions a failure but not verification.
general_reflection_themes,Explanation quality,incorrect_explanation,Incorrect explanation,"Participant describes AI explanations of vulnerabilities, causes, impacts, or fixes as incorrect, misleading, vague, or unsupported.",Apply when the response focuses on misleading or incorrect explanations rather than fixes alone.,Use incorrect_root_cause for incident-focused responses that specifically identify an incorrect causal explanation.
general_reflection_themes,Hallucination and false claims,hallucinated_vulnerability,Hallucinated vulnerability,"Participant describes AI inventing or falsely identifying vulnerabilities, exploit paths, or security problems.",Apply when the response describes fabricated or false vulnerability claims in general reflections.,Do not apply to true vulnerabilities with incomplete or vague explanations.
general_reflection_themes,Hallucination and severity distortion,wrong_severity,Wrong severity,"Participant describes AI misjudging severity, exploitability, or importance of a security issue.","Apply when the response discusses overstatement, understatement, or misranking of vulnerability severity or exploitability.",Use severity_miscalibration for incident-focused responses.
general_reflection_themes,Unsafe remediation behavior,wrong_or_incomplete_fix,Wrong or incomplete fix,"Participant describes AI repair guidance as incorrect, partial, incomplete, or insufficient to resolve the issue.","Apply when the response describes repair guidance that misses requirements, related code paths, or complete remediation.",Use incomplete_fix or insecure_fix for incident-focused remediation examples.
general_reflection_themes,Unsafe remediation behavior,introduced_bug,Introduced bug,"Participant describes AI-generated changes introducing functional bugs, regressions, or unintended behavior.",Apply when the response describes non-security functional breakage caused by an AI-generated change.,Use introduced_new_vulnerability when the introduced issue is security-specific.
general_reflection_themes,Verification and trust calibration,overconfident_answer,Overconfident answer,"Participant describes AI answers as too confident, authoritative, or polished despite being wrong or unsupported.","Apply when the response emphasizes confidence, authority, or polished presentation as a source of risk.",Use overconfident_response for incident-focused examples.
general_reflection_themes,Unsafe remediation behavior,insecure_recommendation,Insecure recommendation,Participant describes AI recommending an unsafe security practice or remediation.,"Apply when the response describes unsafe practices, overly permissive settings, disabling checks, or weakened security posture.",Use insecure_fix for incident-focused remediation failures.
general_reflection_themes,Unsafe remediation behavior,introduced_new_vulnerability,Introduced new vulnerability,Participant describes an AI-generated change creating a new security weakness.,Apply when the response explicitly says the AI output introduced a new vulnerability or security flaw.,Use introduced_bug for non-security bugs and introduced_security_flaw for incident-focused security flaw examples.
